Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11
829.423999,831.835999,828.592993,820.453381,814.194006,815.952002,818.197412,830.764002,838.968018,848.436011,851.271997
831.835999,828.592993,820.453381,814.194006,815.952002,818.197412,830.764002,838.968018,848.436011,851.271997,848.714014
828.592993,820.453381,814.194006,815.952002,818.197412,830.764002,838.968018,848.436011,851.271997,848.714014,846.278015
820.453381,814.194006,815.952002,818.197412,830.764002,838.968018,848.436011,851.271997,848.714014,846.278015,844.583997
814.194006,815.952002,818.197412,830.764002,838.968018,848.436011,851.271997,848.714014,846.278015,844.583997,845.402991
815.952002,818.197412,830.764002,838.968018,848.436011,851.271997,848.714014,846.278015,844.583997,845.402991,842.838000
818.197412,830.764002,838.968018,848.436011,851.271997,848.714014,846.278015,844.583997,845.402991,842.838000,837.914002
830.764002,838.968018,848.436011,851.271997,848.714014,846.278015,844.583997,845.402991,842.838000,837.914002,834.838000
838.968018,848.436011,851.271997,848.714014,846.278015,844.583997,845.402991,842.838000,837.914002,834.838000,830.229993
848.436011,851.271997,848.714014,846.278015,844.583997,845.402991,842.838000,837.914002,834.838000,830.229993,826.758020
851.271997,848.714014,846.278015,844.583997,845.402991,842.838000,837.914002,834.838000,830.229993,826.758020,829.166199
848.714014,846.278015,844.583997,845.402991,842.838000,837.914002,834.838000,830.229993,826.758020,829.166199,831.852002
846.278015,844.583997,845.402991,842.838000,837.914002,834.838000,830.229993,826.758020,829.166199,831.852002,832.568994
844.583997,845.402991,842.838000,837.914002,834.838000,830.229993,826.758020,829.166199,831.852002,832.568994,824.154004
845.402991,842.838000,837.914002,834.838000,830.229993,826.758020,829.166199,831.852002,832.568994,824.154004,827.522009
842.838000,837.914002,834.838000,830.229993,826.758020,829.166199,831.852002,832.568994,824.154004,827.522009,827.642004
837.914002,834.838000,830.229993,826.758020,829.166199,831.852002,832.568994,824.154004,827.522009,827.642004,829.624011
834.838000,830.229993,826.758020,829.166199,831.852002,832.568994,824.154004,827.522009,827.642004,829.624011,830.414002
830.229993,826.758020,829.166199,831.852002,832.568994,824.154004,827.522009,827.642004,829.624011,830.414002,830.755981
826.758020,829.166199,831.852002,832.568994,824.154004,827.522009,827.642004,829.624011,830.414002,830.755981,825.777014
829.166199,831.852002,832.568994,824.154004,827.522009,827.642004,829.624011,830.414002,830.755981,825.777014,822.325989
831.852002,832.568994,824.154004,827.522009,827.642004,829.624011,830.414002,830.755981,825.777014,822.325989,819.757983
832.568994,824.154004,827.522009,827.642004,829.624011,830.414002,830.755981,825.777014,822.325989,819.757983,819.780005
824.154004,827.522009,827.642004,829.624011,830.414002,830.755981,825.777014,822.325989,819.757983,819.780005,818.185791
827.522009,827.642004,829.624011,830.414002,830.755981,825.777014,822.325989,819.757983,819.780005,818.185791,812.814001
827.642004,829.624011,830.414002,830.755981,825.777014,822.325989,819.757983,819.780005,818.185791,812.814001,808.765991
829.624011,830.414002,830.755981,825.777014,822.325989,819.757983,819.780005,818.185791,812.814001,808.765991,807.758008
830.414002,830.755981,825.777014,822.325989,819.757983,819.780005,818.185791,812.814001,808.765991,807.758008,806.041992
830.755981,825.777014,822.325989,819.757983,819.780005,818.185791,812.814001,808.765991,807.758008,806.041992,799.860010
825.777014,822.325989,819.757983,819.780005,818.185791,812.814001,808.765991,807.758008,806.041992,799.860010,802.467993
822.325989,819.757983,819.780005,818.185791,812.814001,808.765991,807.758008,806.041992,799.860010,802.467993,797.112012
819.757983,819.780005,818.185791,812.814001,808.765991,807.758008,806.041992,799.860010,802.467993,797.112012,796.690002
819.780005,818.185791,812.814001,808.765991,807.758008,806.041992,799.860010,802.467993,797.112012,796.690002,796.441992
818.185791,812.814001,808.765991,807.758008,806.041992,799.860010,802.467993,797.112012,796.690002,796.441992,806.988000
812.814001,808.765991,807.758008,806.041992,799.860010,802.467993,797.112012,796.690002,796.441992,806.988000,828.744006
808.765991,807.758008,806.041992,799.860010,802.467993,797.112012,796.690002,796.441992,806.988000,828.744006,833.424011
807.758008,806.041992,799.860010,802.467993,797.112012,796.690002,796.441992,806.988000,828.744006,833.424011,832.357996
806.041992,799.860010,802.467993,797.112012,796.690002,796.441992,806.988000,828.744006,833.424011,832.357996,822.752197
799.860010,802.467993,797.112012,796.690002,796.441992,806.988000,828.744006,833.424011,832.357996,822.752197,814.095996
802.467993,797.112012,796.690002,796.441992,806.988000,828.744006,833.424011,832.357996,822.752197,814.095996,805.109998
797.112012,796.690002,796.441992,806.988000,828.744006,833.424011,832.357996,822.752197,814.095996,805.109998,804.149988
796.690002,796.441992,806.988000,828.744006,833.424011,832.357996,822.752197,814.095996,805.109998,804.149988,805.029004
796.441992,806.988000,828.744006,833.424011,832.357996,822.752197,814.095996,805.109998,804.149988,805.029004,804.761999
806.988000,828.744006,833.424011,832.357996,822.752197,814.095996,805.109998,804.149988,805.029004,804.761999,808.230798
828.744006,833.424011,832.357996,822.752197,814.095996,805.109998,804.149988,805.029004,804.761999,808.230798,805.283997
833.424011,832.357996,822.752197,814.095996,805.109998,804.149988,805.029004,804.761999,808.230798,805.283997,806.067993
832.357996,822.752197,814.095996,805.109998,804.149988,805.029004,804.761999,808.230798,805.283997,806.067993,806.015991
822.752197,814.095996,805.109998,804.149988,805.029004,804.761999,808.230798,805.283997,806.067993,806.015991,806.499218
