Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11
775.916003,782.751990,788.245996,791.859387,790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992
782.751990,788.245996,791.859387,790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010
788.245996,791.859387,790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002
791.859387,790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000
790.147998,791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189
791.356006,793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984
793.747205,796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995
796.304004,792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999
792.509998,794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022
794.629199,797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001
797.791992,797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994
797.910010,796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994
796.764002,787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015
787.837000,785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999
785.406189,774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003
774.145984,766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596
766.107995,761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013
761.823999,759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999
759.910022,748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990
748.538001,750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987
750.030994,762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993
762.793994,771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188
771.990015,767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993
767.161999,762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010
